JaAn,Jack Antonoff,2,"15,38461538",1,1,1
Shel,Shellback,3,"23,07692308",3,3,1
MaxM,Max Martin,4,"30,76923077",3,3,1
Emin,Eminem,1,"7,692307692",1,1,3
StMa,Steve Mac,1,"7,692307692",1,1,1
JMcD,Johnny McDaid,1,"7,692307692",1,1,1
GrKu,Greg Kurstin,2,"15,38461538",1,1,1
AStr,A Strut,1,"7,692307692",1,1,1
JuMi,Julia Michaels,2,"15,38461538",1,1,1
JaJe,Jakob Jerlström,1,"7,692307692",1,1,1
RoGo,Ross Golan,1,"7,692307692",1,1,1
RoFr,Robin Fredriksson,1,"7,692307692",1,1,1
MaLa,Mattias Larsson,1,"7,692307692",1,1,1
OsHo,Oscar Holter,1,"7,692307692",1,1,1
SaDe,Sam Dew,1,"7,692307692",1,1,1
ChMe,Christian Medice,1,"7,692307692",1,1,1
BiMa,Billy Mann,1,"7,692307692",1,1,1
busb,busbee,2,"15,38461538",1,1,1
TJJr,Tobias Jesso Jr.,1,"7,692307692",1,1,1
Künstler*in,Rag'n'Bone Man,,,,,
Album,Human,,,,,
Tracks,12,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
RnBM,Rag'n'Bone Man,12,100,7,7,2
JaHa,Jamie Hartman,1,"8,333333333",1,1,1
TIPu,Two Inch Punch,2,"16,66666667",1,1,1
SiAl,Simon Aldred,2,"16,66666667",1,1,1
JaSc,Jamie Scott,4,"33,33333333",3,3,1
DaBr,Dan Bryer,1,"8,333333333",1,1,1
MiNe,Mike Needle,1,"8,333333333",1,1,1
JoCo,Jonny Coffer,4,"33,33333333",3,3,1
AnJa,Andrew Jackson,2,"16,66666667",1,1,1
DaPr,Dan Priddy,2,"16,66666667",1,1,1
MaCr,Mark Crew,2,"16,66666667",1,1,1
FoVa,Foy Vance,1,"8,333333333",1,1,1
FrCo,Frederick Cox,1,"8,333333333",1,1,1
InWr,Ina Wroldsen,1,"8,333333333",1,1,1
Künstler*in,Sam Smith,,,,,
Album,The Thrill of It All,,,,,
Tracks,10,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
SamS,Sam Smith,10,100,7,7,2
TEHe,Tor Erik Hermansen,1,10,1,1,1
MiSt,Mikkel Storleer,1,10,1,1,1
JiNa,Jimmy Napes,7,70,5,5,1
Mlay,Malay,2,20,1,1,1
TyJo,Tyler Johnson,2,20,1,1,1
PoBe,Poo Bear,1,10,1,1,1
DoJo,Dominic Jordan,1,10,1,1,1
JiGi,Jimmy Giannos,1,10,1,1,1
BrGr,Brendan Grieve,1,10,1,1,1
DD.T.T,Dennis “D.T.” Thomas,1,10,1,1,1
ClSm,Claydes Smith,1,10,1,1,1
GeBr,George Brown,1,10,1,1,1
RoKB,Robert “Kool” Bell,1,10,1,1,1
RiWe,Ricky West,1,10,1,1,1
EmHa,Emile Haynie,1,10,1,1,1
GeRe,Gene Redd,1,10,1,1,1
RoSM,Robert Spike Mickens,1,10,1,1,1
YEBB,YEBBA,1,10,1,1,3
Cam,Cam,1,10,1,1,1
AnLo,Angel López,1,10,1,1,1
DaPe,Darryl Pearson,1,10,1,1,1
Timb,Timbaland,1,10,1,1,1
Ranc,Rance,1,10,1,1,1
Künstler*in,U2,,,,,
Album,Songs of Experience,,,,,
Tracks,13,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
AdCa,Adam Cayton,13,100,7,7,2
LMJr,Larry Mullen Jr.,13,100,7,7,2
Edge,The Edge,13,100,7,7,2
Bono,Bono,13,100,7,7,2
ArRe,Ariel Rechtshaid,1,"7,692307692",1,1,1
AlHa,Alana Haim,1,"7,692307692",1,1,1
DaHa,Danielle Haim,1,"7,692307692",1,1,1
Künstler*in,Kendrick Lamar,,,,,
Album,DAMN.,,,,,
Tracks,14,,,,,
id,Name,Summe Songs,percentage,weight,participation,relation
KeLa,Kendrick Lamar,14,100,7,7,2
Beko,Bēkon,2,"14,28571429",1,1,1
ToDa,Top Dawg,7,50,3,5,1
MWMI,Mike WiLL Made-It,3,"21,42857143",3,3,1
PJTe,Phillip James Terry,1,"7,142857143",1,1,1
MiBu,Michael Burton,1,"7,142857143",1,1,1
DJDa,DJ Dahi,6,"42,85714286",3,5,1
Soun,Sounwave,8,"57,14285714",3,5,1
BrBr,Brody Brown,1,"7,142857143",1,1,1
PhLa,Philip Lawrence,1,"7,142857143",1,1,1
BrMa,Bruno Mars,1,"7,142857143",1,1,1
Riha,Rihanna,1,"7,142857143",1,1,3
TeMa,Terrace Martin,1,"7,142857143",1,1,1
AnWi,Anna Wise,1,"7,142857143",1,1,1
StLa,Steve Lacy,1,"7,142857143",1,1,1
Plus,Pluss,1,"7,142857143",1,1,1
AdRo,Ad-Rock,1,"7,142857143",1,1,1
D.M.C.,D.M.C.,1,"7,142857143",1,1,1
GNBo,George Noah Booth,1,"7,142857143",1,1,1
RABO,RAT BOY,1,"7,142857143",1,1,1
ReRu,Rev Run,1,"7,142857143",1,1,1
Rick,Rick Rubin,1,"7,142857143",1,1,1
LeWh,Leland Whitty,1,"7,142857143",1,1,1
ChHa,Chester Hansen,1,"7,142857143",1,1,1
MaTA,Matthew Tavares,1,"7,142857143",1,1,1
AlSo,Alex Sowinski,1,"7,142857143",1,1,1
TeWa,Teddy Walton,2,"14,28571429",1,1,1
GrKu,Greg Kurstin,1,"7,142857143",1,1,1
Zaca,Zacari,1,"7,142857143",1,1,3
AdCa,Adam Cayton,1,"7,142857143",1,1,3
LMJr,Larry Mullen Jr.,1,"7,142857143",1,1,3
Edge,The Edge,1,"7,142857143",1,1,3
Bono,Bono,1,"7,142857143",1,1,3
DaWa,Dale Warren,1,"7,142857143",1,1,1
ThAl,The Alchemist,1,"7,142857143",1,1,1
BrKo,Brock Korsan,1,"7,142857143",1,1,1
YuEx,Yung Exclusive,1,"7,142857143",1,1,1
MiHe,Mike Hector,1,"7,142857143",1,1,1
Card,Cardo,1,"7,142857143",1,1,1
MaFr,Mannie Fresh,1,"7,142857143",1,1,1
RiRI,Ricci Riera,2,"14,28571429",1,1,1
Juve,Juvenile,1,"7,142857143",1,1,1
JaBl,James Blake,1,"7,142857143",1,1,1
JoSc,Joe Scott,1,"7,142857143",1,1,1
SiMa,Simon Mavin,1,"7,142857143",1,1,1
JRCo,John Richard Cornwall,1,"7,142857143",1,1,1
PeMo,Perrin Moss,1,"7,142857143",1,1,1
PaBe,Paul Bender,1,"7,142857143",1,1,1
NaPa,Nai Palm,1,"7,142857143",1,1,1
JoFl,Johnny Flippin,1,"7,142857143",1,1,1
